Formula Pair,Error,Satisfiability,Validity
./seeds_BV_unsat/bench_813.smt2 & ./seeds_BV_unsat/bench_2497.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_2630.smt2 & ./seeds_BV_unsat/bench_1804.smt2,"Error in SMT formula: b'(error ""line 23 column 2147: Argument #xfffffcff at position 1 has sort (_ BitVec 32) it does not match declaration (declare-fun bvadd ((_ BitVec 8) (_ BitVec 8)) (_ BitVec 8))"")\n'",,
./seeds_BV_unsat/bench_8000.smt2 & ./seeds_BV_unsat/bench_5097.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_3567.smt2 & ./seeds_BV_unsat/bench_7210.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_2235.smt2 & ./seeds_BV_unsat/bench_7277.smt2,,SAT,Valid
./seeds_BV_unsat/bench_7935.smt2 & ./seeds_BV_unsat/bench_2634.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_1331.smt2 & ./seeds_BV_unsat/bench_3419.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_7759.smt2 & ./seeds_BV_unsat/bench_2179.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_2251.smt2 & ./seeds_BV_unsat/bench_6709.smt2,"Error in SMT formula: b'(error ""line 10 column 2276: invalid command, \'(\' expected"")\n'",,
./seeds_BV_unsat/bench_8290.smt2 & ./seeds_BV_unsat/bench_7764.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_4885.smt2 & ./seeds_BV_unsat/bench_2174.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_7349.smt2 & ./seeds_BV_unsat/bench_7595.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_6689.smt2 & ./seeds_BV_unsat/bench_7640.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_796.smt2 & ./seeds_BV_unsat/bench_3921.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_8277.smt2 & ./seeds_BV_unsat/bench_2379.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_1445.smt2 & ./seeds_BV_unsat/bench_2253.smt2,"Error in SMT formula: b'(error ""line 17 column 55: Argument #x00000016 at position 1 has sort (_ BitVec 32) it does not match declaration (declare-fun bvadd ((_ BitVec 8) (_ BitVec 8)) (_ BitVec 8))"")\n'",,
./seeds_BV_unsat/bench_4477.smt2 & ./seeds_BV_unsat/bench_2455.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_3119.smt2 & ./seeds_BV_unsat/bench_5062.smt2,,UNSAT,Valid
./seeds_BV_unsat/bench_8276.smt2 & ./seeds_BV_unsat/bench_4618.smt2,"Error in SMT formula: b'(error ""line 8 column 308: unknown constant ?v_0"")\n'",,
./seeds_BV_unsat/bench_8466.smt2 & ./seeds_BV_unsat/bench_6786.smt2,"Error in SMT formula: b'(error ""line 105 column 0: invalid assert command, \')\' expected"")\n'",,
